"CASE"	"SERIAL"	"REF"	"QUESTNNR"	"MODE"	"STARTED"	"UR01_CP"	"UR01"	"UR02_CP"	"UR02x01"	"UR02x02"	"UR02x03"	"UR02x04"	"UR02x05"	"UR02x06"	"UR02x07"	"UR02x08"	"UR02x09"	"UR02x10"	"UR02x11"	"UR02x12"	"UR02x13"	"UR02x14"	"UR02x15"	"UR02x16"	"UR02x17"	"UR02x18"	"UR02x19"	"UR02x20"	"UR02x21"	"UR02x22"	"UR02x23"	"UR02x24"	"UR02x25"	"UR02x26"	"UR02x27"	"UR02x28"	"UR02x29"	"UR02x30"	"UR02x31"	"UR02x32"	"UR02x33"	"UR02x34"	"UR02x35"	"UR02x36"	"UR02x37"	"UR02x38"	"UR02x39"	"UR02x40"	"UR02x41"	"UR02x42"	"UR02x43"	"UR02x44"	"UR02x45"	"UR02x46"	"UR02x47"	"UR02x48"	"UR02x49"	"UR02x50"	"UR02x51"	"UR02x52"	"UR02x53"	"UR02x54"	"UR02x55"	"UR02x56"	"UR02x57"	"UR02x58"	"UR02x59"	"UR02x60"	"UR02x61"	"UR02x62"	"UR02x63"	"UR02x64"	"UR02x65"	"UR02x66"	"UR02x67"	"UR02x68"	"UR02x69"	"UR02x70"	"UR02x71"	"UR02x72"	"UR02x73"	"UR02x74"	"UR02x75"	"UR02x76"	"UR02x77"	"UR02x78"	"UR02x79"	"UR02x80"	"UR02x81"	"UR02x82"	"UR02x83"	"UR02x84"	"TR01_01"	"TR01_01a"	"TR01_02"	"TR01_02a"	"TR01_03"	"TR01_03a"	"TR01_04"	"TR01_04a"	"TR01_05"	"TR01_05a"	"TR01_06"	"TR01_06a"	"TR01_07"	"TR01_07a"	"TR01_08"	"TR01_08a"	"TR01_09"	"TR01_09a"	"TR01_10"	"TR01_10a"	"TR01_11"	"TR01_11a"	"TR01_12"	"TR01_12a"	"TR01_13"	"TR01_13a"	"TR01_14"	"TR01_14a"	"TR01_15"	"TR01_15a"	"TR01_16"	"TR01_16a"	"TR02_01"	"TR02_01a"	"TR02_02"	"TR02_02a"	"TR02_03"	"TR02_03a"	"TR02_04"	"TR02_04a"	"TR02_05"	"TR02_05a"	"TR02_06"	"TR02_06a"	"TR02_07"	"TR02_07a"	"TR02_08"	"TR02_08a"	"TR02_09"	"TR02_09a"	"TR02_10"	"TR02_10a"	"TR02_11"	"TR02_11a"	"TR02_12"	"TR02_12a"	"TR02_13"	"TR02_13a"	"TR02_14"	"TR02_14a"	"TR02_15"	"TR02_15a"	"TR02_16"	"TR02_16a"	"TR02_17"	"TR02_17a"	"TR02_18"	"TR02_18a"	"TR02_19"	"TR02_19a"	"TR02_20"	"TR02_20a"	"TR02_21"	"TR02_21a"	"TR02_22"	"TR02_22a"	"TR02_23"	"TR02_23a"	"TR02_24"	"TR02_24a"	"TR02_25"	"TR02_25a"	"TR02_26"	"TR02_26a"	"TR02_27"	"TR02_27a"	"TR02_28"	"TR02_28a"	"TR02_29"	"TR02_29a"	"TR02_30"	"TR02_30a"	"TR02_31"	"TR02_31a"	"TR02_32"	"TR02_32a"	"TR02_33"	"TR02_33a"	"TR02_34"	"TR02_34a"	"TR02_35"	"TR02_35a"	"TR02_36"	"TR02_36a"	"TR02_37"	"TR02_37a"	"TR02_38"	"TR02_38a"	"TR02_39"	"TR02_39a"	"TR02_40"	"TR02_40a"	"TR02_41"	"TR02_41a"	"TR02_42"	"TR02_42a"	"TR02_43"	"TR02_43a"	"TR02_44"	"TR02_44a"	"TR02_45"	"TR02_45a"	"TR02_46"	"TR02_46a"	"TR02_47"	"TR02_47a"	"TR02_48"	"TR02_48a"	"TR02_49"	"TR02_49a"	"TR02_50"	"TR02_50a"	"TR02_51"	"TR02_51a"	"TR02_52"	"TR02_52a"	"TR02_53"	"TR02_53a"	"TR02_54"	"TR02_54a"	"TR02_55"	"TR02_55a"	"TR02_56"	"TR02_56a"	"TR02_57"	"TR02_57a"	"TR02_58"	"TR02_58a"	"TR02_59"	"TR02_59a"	"TR02_60"	"TR02_60a"	"TR02_61"	"TR02_61a"	"TR02_62"	"TR02_62a"	"TR02_63"	"TR02_63a"	"TR02_64"	"TR02_64a"	"TR02_65"	"TR02_65a"	"TR02_66"	"TR02_66a"	"TR02_67"	"TR02_67a"	"TR02_68"	"TR02_68a"	"TR02_69"	"TR02_69a"	"TR02_70"	"TR02_70a"	"TR02_71"	"TR02_71a"	"TR02_72"	"TR02_72a"	"TR02_73"	"TR02_73a"	"TR02_74"	"TR02_74a"	"TR02_75"	"TR02_75a"	"TR02_76"	"TR02_76a"	"TR02_77"	"TR02_77a"	"TR02_78"	"TR02_78a"	"TR02_79"	"TR02_79a"	"TR02_80"	"TR02_80a"	"TR02_81"	"TR02_81a"	"TR02_82"	"TR02_82a"	"TR02_83"	"TR02_83a"	"TR02_84"	"TR02_84a"	"IV01_RV1"	"IV01_REF"	"IV02_01"	"IV02_02"	"DM03"	"DM04"	"DM05"	"DM06"	"DM07"	"DM10_01"	"DM11"	"DM11_01"	"DV01_01"	"DV02_01"	"DV03_01"	"DV03_02"	"DV04_01"	"DV04_02"	"DV05_01"	"DV05_02"	"DV06_01"	"DV06_02"	"TIME001"	"TIME002"	"TIME003"	"TIME004"	"TIME005"	"TIME006"	"TIME007"	"TIME008"	"TIME009"	"TIME010"	"TIME011"	"TIME012"	"TIME013"	"TIME014"	"TIME015"	"TIME016"	"TIME017"	"TIME_SUM"	"MAILSENT"	"LASTDATA"	"FINISHED"	"Q_VIEWER"	"LASTPAGE"	"MAXPAGE"	"MISSING"	"MISSREL"	"TIME_RSI"	"DEG_TIME"
142			"base"	"interview"	2021-04-23 14:31:08	6	2	527	2	3	4	4	2	4	1	1	2	1	3	1	4	2	1	3	2	4	4	3	3	1	2	2	4	4	4	2	2	2	3	4	3	3	1	2	3	2	2	3	3	2	2	2	3	1	1	4	3	3	4	4	4	4	1	4	3	2	4	4	3	4	2	2	2	1	3	2	1	4	1	2	1	4	1	1	2	3	3	1	2	2	1	4	1	5378	1	5269	1	6807	1	3183	1	3140	1	3386	1	3254	1	3048	1	3141	1	3486	1	3367	1	5461	1	2873	1	3704	1	3033	1	3144	1	3849	1	3029	1	3183	1	2726	2	2443	1	2431	1	2256	1	2204	2	2840	1	2729	1	2513	1	3397	1	3145	1	2361	1	2765	1	3785	2	3229	2	2729	2	3427	2	4121	1	3241	1	2837	1	2664	2	2216	2	2016	2	2670	2	2186	2	2656	2	2503	2	3204	2	3541	2	2807	2	2825	1	2226	1	2162	1	2708	2	2798	2	2116	1	2138	1	2981	1	3006	1	1928	2	3723	1	2500	2	10436	2	2165	1	2111	1	2147	1	2437	1	1829	1	1872	1	2035	1	1960	1	1928	1	2216	1	1939	1	2082	1	1804	1	1823	1	2076	1	1953	1	2042	1	3325	1	2600	1	2096	1	2073	1	5419	1	3700	1	2939	1	2091	1	2995	1	2792	1	2678	1	1788	1	2053	1	2135	1	2073	1	1982	1	1870	1	2265	1	2094	1	2626	1	1997	1	2923	"602ecc522b8e88af492c0162"	"-"	"Forced4Forced2Forced3Forced1Forced4Forced3Forced2Forced4Forced3Forced4Forced4Forced4Forced4Forced4Forced4Forced2ForcedFeedback"	"-400"	2	3	2	2	3		1	T	75	9	21	81	82	20	31	31	93	93	50	25	35	9	4	14	15	40	3	14	52	28	288	6	37	19	19	658		2021-04-23 14:42:08	T	F	17	17	1	0	1.04	11
143			"base"	"interview"	2021-04-23 14:31:12	3	3	300	4	2	2	4	2	2	1	3	2	2	2	3	2	3	4	3	4	1	1	3	2	3	3	3	2	3	1	2	4	2	3	3	4	3	3	3	4	3	1	4	2	1	3	2	3	1	1	4	3	1	4	3	2	3	3	2	1	1	1	1	4	1	4	3	2	3	3	1	2	3	4	1	2	1	4	3	1	4	1	4	4	1	4	3	1	5006	1	7618	1	4247	1	3693	1	4196	1	3188	1	3242	1	3871	1	3135	1	3798	1	2835	1	3915	1	4927	1	3298	1	4766	1	3530	1	4925	1	7817	2	19314	2	2662	1	3044	2	2529	1	2415	1	3428	2	2464	2	2011	2	1993	1	2220	1	2084	1	1977	1	2041	1	2000	1	2402	1	2012	1	2014	2	2054	2	2007	2	2107	2	1955	2	2014	1	3201	1	1957	1	2005	1	2022	1	2033	2	3293	1	2256	1	2041	2	2608	1	3116	2	2549	1	2152	2	2059	2	1978	1	2299	2	1933	1	3675	2	3310	2	3380	1	3036	1	2093	2	2155	2	2410	2	2100	2	2296	2	2168	2	2010	2	2091	2	1944	2	1921	2	1985	1	2115	2	2424	1	2136	2	1990	1	2319	1	2408	1	2965	1	1938	2	2745	2	2259	1	2061	1	1869	1	1845	1	2069	1	1924	1	1949	2	4624	1	2341	1	1724	1	2063	2	2520	1	2075	1	2074	1	2260	1	2103	1	2101	1	2018	1	2042	2	4244	"5fb23fd48dca1e7c35563adb"	"-"	"Forced1Forced2Forced4Forced2Forced2Forced1Forced2Forced4Forced2Forced2Forced2Forced2Forced4Forced2Forced3Forced1ForcedFeedback"	"-480"	2	34	1	2	5		1	T	66	28	43	81	12	6	80	86	74	83	19	6	21	9	13	43	6	14	4	22	37	19	284	11	30	21	4	563		2021-04-23 14:40:35	T	F	17	17	1	0	1.3	21
144			"base"	"interview"	2021-04-23 14:31:12	3	4	240	3	2	1	3	2	2	1	3	4	3	4	1	3	3	3	4	4	1	2	2	3	2	4	2	4	2	3	3	3	1	2	1	4	4	1	4	4	4	2	1	4	4	1	3	2	3	4	2	4	4	3	4	4	1	2	4	1	4	2	4	2	4	3	3	2	3	3	2	4	4	1	3	3	3	3	1	4	3	3	4	2	2	3	1	1	3808	1	4484	1	2677	1	3804	1	2829	1	3148	1	3547	1	2667	1	2771	1	2684	1	2843	1	2626	1	2669	1	2713	1	2714	1	3056	1	5238	1	3518	2	5327	1	3061	1	2899	1	2269	2	3595	2	2450	1	2704	1	3172	2	2728	2	2158	2	1949	2	2887	1	1925	2	1995	1	2211	2	1999	2	2317	1	2014	2	2009	2	2423	1	1940	1	1940	1	2246	1	1987	2	2171	1	2444	2	2436	1	2038	1	2322	2	2266	1	2665	1	2543	1	2125	2	2315	1	2152	2	2082	1	2157	2	2586	1	2150	1	2689	1	2201	2	1792	1	2173	1	1901	2	2331	2	1982	1	1969	1	2010	1	2001	1	2022	1	1728	1	1984	1	1644	1	2223	1	1816	1	2134	1	2061	1	2003	1	2112	1	2006	2	2073	1	1647	1	1969	2	2184	1	1986	1	1975	1	2607	2	3455	2	2689	1	2277	2	2096	2	3030	1	2037	1	2492	2	2365	1	2290	2	2006	1	3112	1	2209	2	2344	1	2360	2	2147	"5fa321208a60a85f00af2d96"	"-"	"Forced4Forced4Forced3Forced4Forced3Forced2Forced3Forced4Forced4Forced2Forced1Forced4Forced4Forced4Forced2Forced4ForcedFeedback"	"-320"	2	8	1	2	5		1	T	27	11	71	25	60	20	34	71	71	32	16	3	7	3	4	10	12	34	4	16	78	22	266	5	13	13	2	508		2021-04-23 14:39:40	T	F	17	17	1	0	1.79	61
145			"base"	"interview"	2021-04-23 14:31:12	7	2	587	3	3	3	4	3	2	3	3	4	2	3	3	3	4	1	1	3	2	4	1	4	2	1	1	1	2	4	3	4	3	1	2	4	1	3	1	4	2	3	2	4	1	4	2	2	1	2	4	1	4	3	1	4	3	4	2	2	2	3	4	3	1	1	3	3	1	2	1	3	2	4	2	4	4	1	1	2	3	3	3	1	3	2	4	1	3267	1	3504	1	3666	1	5052	1	3985	1	9130	1	2840	1	2968	1	6896	1	3205	1	3378	1	2889	1	2873	1	3254	1	2372	1	2328	2	3279	2	4170	1	2731	2	2581	2	7805	2	2579	2	2348	2	1869	1	2007	1	2076	2	1923	2	1889	1	1867	2	1925	2	1863	1	1851	1	2033	2	1844	1	1706	1	1853	1	1833	1	1754	1	1844	1	1756	1	1768	1	1834	1	1859	1	1883	1	1803	1	1874	1	1858	2	1871	2	1780	2	1930	2	1775	2	1829	2	1741	2	1818	2	1818	2	1821	2	1801	2	1834	2	1842	2	4112	2	1707	2	2057	2	1838	2	1815	1	1861	1	1964	1	2023	1	1855	1	1817	1	1889	1	1826	1	1847	1	2094	1	1897	2	1841	2	1927	2	1856	2	1898	2	1888	1	1897	1	1791	1	1857	1	1730	1	1741	1	2009	1	1849	1	1756	1	1885	1	1871	2	1838	1	1907	2	1802	1	1862	2	1860	1	1961	2	1666	2	1783	2	1656	1	1811	1	3109	"5ed558bb9c43bc0d1ad52987"	"-"	"Forced4Forced1Forced4Forced4Forced2Forced2Forced4Forced4Forced3Forced3Forced4Forced4Forced4Forced3Forced4Forced2ForcedFeedback"	"-440"	2	1	1	2	3	"When doing the task the points went down by 10 for every ruler, so there was a negative score, hope you guys still tracked the amount of knives i selected"	1	T	27	64	76	61	81	86	66	51	67	68	78	4	2	24	4	18	15	35	2	13	32	11	227	11	30	14	43	547		2021-04-23 14:40:37	T	F	17	17	0	0	1.35	50
146			"base"	"interview"	2021-04-23 14:31:22	5	3	445	1	2	3	1	4	4	2	1	3	3	1	2	3	1	2	4	1	2	2	2	4	3	3	3	4	1	4	4	1	2	4	3	1	3	4	3	4	1	1	4	1	3	3	1	2	3	3	2	1	4	3	2	4	1	3	2	2	4	4	1	1	3	1	2	2	1	4	3	2	3	1	1	3	3	4	4	2	1	4	1	1	2	1	2	1	6516	1	7416	1	4394	1	8923	1	6593	1	6499	1	4825	1	3834	1	3663	1	3486	1	3075	1	5605	1	3265	1	8526	1	2970	1	2808	2	5474	2	4646	1	2772	1	2558	1	2296	2	3318	2	2432	2	2471	2	2267	1	2744	1	2158	1	2236	1	2233	2	2282	1	2119	1	2510	2	2443	2	2471	2	2269	1	2376	1	2192	1	2164	2	2139	1	2038	1	2296	1	3248	1	2350	2	3066	2	4944	2	2610	2	2340	1	2539	1	2222	1	2477	1	2149	1	2188	1	2172	1	2526	1	2180	1	2245	1	3094	1	2174	1	2186	1	2514	2	2145	2	2287	2	2224	2	2375	1	2145	1	2226	1	2788	1	3786	1	2670	1	2848	1	2260	1	2352	1	4786	1	2496	2	2403	2	3855	1	2329	2	2211	2	2096	2	2331	1	2145	1	2627	1	2296	2	2138	2	2296	2	2200	2	2240	2	2534	1	2222	1	2306	1	2284	2	3045	1	3680	1	2036	1	2483	2	2780	2	2201	2	2178	1	2126	2	2294	"5d976e6c1491510016a32de7"	"-"	"Forced2Forced4Forced4Forced2Forced2Forced3Forced1Forced2Forced2Forced4Forced2Forced1Forced2Forced2Forced1Forced2ForcedFeedback"	"-460"	2	45	1	2	5		1	T	19	39	18	60	16	13	67	71	82	83	37	9	70	74	14	56	7	17	3	20	46	68	279	14	50	26	23	747		2021-04-23 14:44:56	T	F	17	17	1	0	0.81	5
147			"base"	"interview"	2021-04-23 14:31:30	6	1	464	4	3	3	3	4	3	2	1	3	1	1	3	4	1	2	3	4	1	2	4	1	1	2	4	3	4	2	1	1	3	4	3	2	3	1	3	2	4	3	3	4	2	1	4	4	2	2	3	2	4	4	2	4	1	3	4	4	2	2	1	3	2	3	3	1	1	4	1	3	4	2	1	3	2	1	2	1	1	1	2	1	1	4	2	1	8125	1	5979	1	4598	1	3328	1	3094	1	2974	1	2784	1	2922	1	2915	1	2944	1	2966	1	3459	1	10221	1	2895	1	2922	1	2968	2	3428	1	2627	1	2220	2	2226	1	2866	2	2793	1	2545	1	2312	2	2323	2	2332	2	2630	1	3850	1	2249	1	2559	2	2210	1	2429	2	2518	1	3763	2	1922	2	2133	2	2186	2	2267	1	2129	1	2203	1	2283	2	2619	2	2411	1	2187	1	2213	2	2324	2	2230	2	2505	2	2131	1	2553	1	2309	1	1899	2	2133	1	2257	1	2233	1	2148	1	2179	1	2311	1	2199	1	2244	2	2531	2	2409	1	3067	2	2713	1	2845	2	2486	2	2765	2	2238	1	2106	1	2108	1	2173	2	2139	2	2241	1	2608	1	2255	2	2134	1	2303	2	2178	2	2126	1	2242	1	2144	1	2222	1	2359	2	2813	1	2740	1	2125	1	2737	2	2359	2	2175	1	2470	1	2285	2	2118	2	2325	2	3189	1	2355	2	2335	1	2300	1	2150	2	2129	1	3262	"6040f3de845ed103cc9ba163"	"-"	"Forced2Forced3Forced4Forced2Forced1Forced4Forced1Forced2Forced2Forced1Forced2Forced2Forced2Forced2Forced4Forced2ForcedFeedback"	"-440"	2	1	2	2	2		1	T	89	31	30	38	34	19	13	6	17	8	19	22	18	4	11	45	7	13	6	17	26	25	259	16	21	16	3	528		2021-04-23 14:40:24	T	F	17	17	1	0	1.32	24
148			"base"	"interview"	2021-04-23 14:31:30	9	1	760	1	1	3	4	1	1	2	4	2	3	4	2	1	3	3	4	2	3	3	2	4	3	1	3	1	4	3	2	2	3	4	4	2	1	2	3	4	1	3	1	4	2	4	1	3	3	2	2	1	2	4	4	2	1	1	3	4	3	4	4	2	4	1	1	4	2	3	2	1	4	3	1	3	1	4	3	4	2	4	1	2	4	2	3	1	9970	1	7907	1	4832	1	4444	1	3358	1	4738	1	7188	1	12448	1	7146	1	5940	1	5164	1	6573	1	4782	1	4973	1	6318	1	4506	2	4311	2	3218	1	2116	2	2269	2	2453	1	2059	2	2193	2	2095	1	2117	2	2052	2	1901	2	2010	2	1967	1	1893	2	2520	1	1864	1	1754	2	1958	1	1880	2	1936	1	2083	2	1923	1	2034	2	2140	1	1911	2	2116	2	2126	2	2232	1	1998	2	2073	1	2040	1	2998	1	2466	2	1913	1	2057	1	1779	2	2015	2	2231	2	2193	1	1894	2	1984	1	3474	2	1974	2	2018	1	1902	2	1868	1	4237	2	1679	1	1945	2	1906	2	2005	2	1787	1	2754	2	2048	1	1871	1	1681	1	1703	2	2718	1	1913	1	1948	2	1995	1	1911	1	1962	2	1742	1	1847	2	2165	1	1879	2	2486	1	2210	1	1806	1	1995	2	1859	1	1808	1	1866	2	1750	2	1723	2	1863	2	1958	1	1919	2	1973	1	1864	1	2160	1	1963	2	3482	"608045674984fc4dfe5941f3"	"-"	"Forced2Forced2Forced2Forced4Forced2Forced4Forced3Forced1Forced2Forced1Forced2Forced1Forced2Forced2Forced2Forced4ForcedFeedback"	"-380"	2	5	1	2	3		1	T	50	31	21	21	26	12	81	81	60	78	83	76	62	12	27	60	8	16	7	68	88	59	235	36	36	35	67	706		2021-04-23 14:47:46	T	F	17	17	1	0	0.59	4
149			"base"	"interview"	2021-04-23 14:31:32	8	2	625	4	2	4	4	3	1	3	4	4	1	2	1	1	4	4	3	3	3	2	4	4	4	2	2	2	2	3	1	2	1	1	1	2	1	4	4	2	2	4	2	2	3	2	4	3	3	1	4	2	3	4	4	3	3	1	2	3	1	4	3	2	2	2	3	4	3	2	2	2	4	4	3	4	2	2	1	1	3	2	4	4	2	4	1	1	4534	1	5193	1	4424	1	2689	1	3895	1	12136	1	3218	1	3072	1	74200	1	3904	1	2670	1	2655	1	2854	1	2763	1	145370	1	2763	1	3687	1	2938	1	2050	1	1969	2	3160	1	1920	1	1881	1	30849	1	1906	1	1959	1	1882	1	1746	1	1753	1	2275	1	1997	2	1958	2	3297	2	15765	2	1781	2	1898	1	1877	2	2779	1	1784	1	1870	2	1738	1	2085	1	1740	1	1690	1	1696	1	1746	1	1949	1	1754	1	1752	1	1741	1	2217	1	1916	1	1885	1	1730	2	1714	2	1955	2	1808	2	1645	1	1678	2	1792	1	1897	2	1692	2	1700	2	1636	2	2016	2	1985	1	2086	2	1899	1	1837	2	1728	1	1645	2	1688	1	2139	1	1785	1	1757	2	1945	1	1806	2	7750	2	2218	1	1936	1	1758	1	1708	2	1728	1	1633	1	1801	1	1813	1	1658	1	1847	1	1696	2	2027	1	1648	1	1768	1	1717	2	1805	1	1670	1	1839	1	1704	1	1773	1	1888	1	2203	"5fc1825b3582c1235beee8a7"	"-"	"Forced4Forced4Forced4Forced4Forced4Forced1Forced3Forced3Forced2Forced4Forced2Forced4Forced4Forced4Forced2Forced3ForcedFeedback"	"-340"	2	7	1	2	3		1	T	86	8	22	80	90	21	79	84	94	12	106	5	184	323	12	224	12	39	2	9	21	208	266	6	11	9	11	608		2021-04-23 14:55:40	T	F	17	17	1	0	1.08	18
150			"base"	"interview"	2021-04-23 14:31:39	8	3	675	1	4	2	4	2	2	4	4	2	3	1	3	1	3	2	1	3	2	3	4	2	3	4	4	2	4	3	2	1	4	4	1	4	4	2	2	3	3	2	3	3	4	2	2	4	4	3	4	3	2	3	1	3	2	4	4	1	4	3	4	3	3	4	2	4	1	3	4	3	3	2	3	3	2	2	2	4	1	1	3	4	2	1	2	1	8820	1	9669	1	5884	1	9544	1	8808	1	5698	1	8752	1	7423	1	4768	1	5356	1	4373	1	4698	1	5148	1	5825	1	3879	1	5460	2	7006	1	5989	2	8472	1	3728	1	3390	1	3485	1	2433	2	3850	2	3472	1	4302	1	3336	2	3386	2	2741	2	3019	1	2925	1	3447	1	3364	1	2553	2	3115	1	3223	1	3591	2	2773	1	2850	1	4147	1	3688	2	2837	2	3120	1	2483	1	2315	2	3064	2	3682	2	3257	1	2619	1	2971	2	3377	1	2941	1	2295	2	2892	2	2455	2	2289	1	2359	1	2222	1	2605	1	2242	2	2749	2	2519	2	2811	1	2394	1	2816	1	2356	2	2820	2	2189	2	2210	1	2448	1	2192	1	2490	1	2441	2	3155	2	2451	1	2275	2	4577	1	3072	1	3273	1	3238	2	3256	2	3195	1	2631	1	2328	1	2348	2	2815	2	3433	1	2289	1	2146	1	5754	2	3124	1	2808	1	2143	1	2286	1	2281	2	2525	1	2508	1	2514	2	3065	1	5681	"5e8348450e128b0539d77ddc"	"-"	"Forced2Forced1Forced2Forced4Forced4Forced2Forced4Forced2Forced2Forced2Forced1Forced2Forced3Forced2Forced1Forced2ForcedFeedback"	"-340"	2	14	2	2	2		1	T	35	49	26	18	26	26	66	61	56	51	71	50	91	14	20	61	5	30	7	35	80	48	323	23	68	35	21	963		2021-04-23 14:48:01	T	F	17	17	1	0	0.61	3
151			"base"	"interview"	2021-04-23 14:31:39	5	1	412	2	2	4	3	2	2	4	3	1	4	2	1	1	4	4	1	1	3	4	1	4	1	4	2	2	4	3	4	2	3	4	4	3	3	1	2	2	1	3	3	4	1	4	4	1	1	3	1	2	1	2	4	4	3	1	1	1	3	3	3	4	2	1	2	4	4	1	2	2	1	2	1	4	2	4	4	4	3	1	2	1	4	3	1	1	6507	1	8171	1	6514	1	4080	1	3570	1	3431	1	3008	1	12547	1	2944	1	2716	1	2858	1	3023	1	2900	1	2908	1	3139	1	2701	1	4160	1	3669	2	2524	2	2692	2	3559	1	2128	1	2493	2	2656	2	2217	2	3606	1	2225	2	2395	2	2398	2	2058	2	2210	1	2137	1	2168	1	2146	1	2008	1	2224	2	2691	2	10885	2	2499	1	2473	2	2214	1	2062	1	2043	1	2154	1	2228	2	2442	1	2781	1	2947	1	2454	2	2337	1	2482	1	2133	1	2089	1	1993	1	2094	1	2038	2	2004	2	2133	2	2441	2	14151	2	2595	1	2070	2	2203	2	2065	2	2128	2	2138	2	2513	1	2139	2	2013	2	2056	2	2020	1	1930	2	1997	1	2189	2	2029	2	2111	1	2722	2	2221	1	2521	1	2122	2	2215	1	2130	1	2436	2	2240	2	2244	1	2242	2	5170	2	2635	2	2125	2	1993	2	1923	1	2241	2	1967	1	1999	1	2227	2	2168	2	2063	1	2175	2	2062	2	2815	"5f766cbb3a2dd31104d0bb04"	"-"	"Forced2Forced1Forced2Forced4Forced2Forced2Forced2Forced1Forced4Forced3Forced4Forced2Forced2Forced2Forced1Forced2ForcedFeedback"	"-340"	2	3	2	2	5		1	T	32	13	70	18	76	49	54	49	81	41	11	12	4	2	26	39	3	13	10	14	15	2	273	12	15	13	4	461		2021-04-23 14:39:27	T	F	17	17	1	0	1.81	90
152			"base"	"interview"	2021-04-23 14:31:40	4	1	351	4	3	4	4	4	4	3	1	3	1	1	4	1	3	2	3	4	1	4	1	4	2	3	4	2	2	3	1	1	2	3	4	3	1	2	1	1	3	4	1	2	4	3	1	3	1	3	1	3	2	1	2	1	1	4	2	2	2	2	2	4	4	4	1	1	2	1	2	3	4	4	1	1	2	1	2	2	2	3	2	2	3	3	4	1	7469	1	3629	1	4625	1	3292	1	2927	1	2651	1	2806	1	2750	1	2469	1	5678	1	3566	1	2441	1	2685	1	2506	1	3870	1	3589	1	3402	2	5667	1	2303	1	2280	1	2123	1	2210	1	2190	1	2842	2	3594	2	2003	2	1864	1	1897	2	2496	1	1736	2	1931	1	1910	1	1700	1	1776	2	2023	1	1889	2	1960	2	2732	2	5650	1	2107	1	1855	2	4469	1	3922	2	2060	1	2205	1	1958	2	2024	2	1764	2	2142	2	2270	1	1885	2	2139	1	1951	1	1780	1	1752	1	1686	1	1748	1	1661	2	2307	1	2135	1	2339	2	1939	1	1760	2	1900	2	1873	1	1831	2	1707	2	1907	2	1998	2	1907	2	2152	2	1966	2	2159	1	1760	2	1917	1	2144	2	2096	1	2085	1	1717	2	1791	1	1835	1	1703	1	1840	1	3275	2	1886	1	1966	2	2414	1	1954	2	3072	1	2220	2	1906	1	2032	2	2130	1	2396	2	1824	2	1807	1	1869	2	1975	1	1800	2	2033	"5fa080e9fa95ac0d9fa449b2"	"-"	"Forced2Forced1Forced2Forced3Forced2Forced4Forced1Forced2Forced2Forced4Forced4Forced2Forced1Forced2Forced2Forced2ForcedFeedback"	"-440"	2	1	1	2	2		1	T	53	50	51	51	52	51	101	101	101	101	8	2	2	7	11	40	3	13	1	6	23	2	235	8	14	11	11	397		2021-04-23 14:38:20	T	F	17	17	1	0	2	114
153			"base"	"interview"	2021-04-23 14:31:44	6	4	504	3	3	1	2	2	1	2	1	2	4	2	2	1	3	4	1	4	3	3	4	3	3	1	3	1	1	2	1	4	1	2	1	2	4	1	3	4	4	2	2	2	4	2	4	3	2	4	2	1	2	1	2	1	3	2	4	1	3	1	3	3	1	3	4	4	1	4	2	4	4	1	4	3	2	4	3	2	4	3	1	3	2	2	4	1	9488	1	17248	1	8869	1	15294	1	5602	1	6264	1	3984	1	2826	1	3250	1	3083	1	2796	1	3096	1	2762	1	3067	1	2951	1	3104	2	7318	1	3020	1	2785	2	3236	2	3152	2	2648	2	2625	2	2718	1	2600	1	7316	1	6970	2	2626	2	4099	1	3456	2	2404	2	3656	2	2624	1	2453	2	2894	2	3475	2	3330	1	2572	2	2604	2	2378	2	2481	1	2555	2	2295	2	2222	2	1921	2	1970	2	2077	2	2591	2	2196	2	1842	2	2200	2	2227	2	2154	2	2291	2	2245	2	2450	2	1818	2	2762	2	2275	2	2567	2	3156	2	1884	2	2310	2	2752	2	4120	2	2136	2	2147	2	3301	2	2230	2	2254	2	4671	2	2979	2	3451	2	6282	2	2278	2	4801	2	2315	2	2442	2	3008	2	2426	2	2775	2	13433	2	3472	2	2732	2	6265	2	6477	2	2397	2	5491	1	2844	1	3044	2	2617	2	2656	2	2160	1	2435	1	2543	2	2045	2	2199	1	2425	2	2603	1	2863	"5f098e7e48abc401daa8049d"	"-"	"Forced2Forced4Forced2Forced3Forced4Forced4Forced3Forced2Forced4Forced4Forced4Forced3Forced1Forced4Forced4Forced4ForcedFeedback"	"-420"	2	2	1	2	2		1	T	80	31	23	73	49	28	25	79	40	19	31	7	16	7	3	24	25	54	4	17	36	18	325	27	18	23	5	623		2021-04-23 14:42:26	T	F	17	17	1	0	1.25	21
